
Aspect ratio at max_mode 3: 7.000779995541477
Mean iota at 3: 0.4676719270089491
Squared flux at max_mode 3: 0.003553105236718188
fun_coils_simple#1 - J=6.3e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.26 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=5.2e-05, J_MSC=2.8e-03, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.8, curvature=[4.8, 3.5, 3.4, 10.8, 15.0, 15.4], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 14.4, 16.0]
fun_coils_simple#12 - J=3.6e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=3.2e-07, J_MSC=1.8e-05, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.7, curvature=[4.8, 3.5, 3.4, 10.8, 10.0, 5.4], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 9.6, 10.6]
fun_coils_simple#13 - J=3.6e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=3.2e-07, J_MSC=1.2e-05, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.7, curvature=[4.8, 3.5, 3.4, 10.8, 10.0, 5.4], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 9.4, 10.5]
fun_coils#1 - J=3.6e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=3.2e-07, J_MSC=1.2e-05, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.7, curvature=[4.8, 3.5, 3.4, 10.8, 10.0, 5.4], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 9.4, 10.5]
fun_coils#2 - J=3.2e+01, Jf=4.2e-01, ⟨B·n⟩=8.3e-02, C-C-Sep=0.02 Jf=4.2e-01, J_length=7.0e-06, J_CC=1.4e-03, J_CURVATURE=4.0e-01, J_MSC=2.4e+01, J_ALS=2.4e-05, J_LENGTH_PENALTY=7.1e+00 Coil lengths=sum([3.6, 3.8, 4.1, 11.3, 5.3, 42.3])=70.5, curvature=[6.8, 5.8, 46.2, 1026.1, 273.6, 192.0], mean squared curvature=[12.0, 6.5, 22.4, 677.5, 177.6, 30.0]
fun_coils#3 - J=3.6e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=1.5e-07, J_MSC=1.1e-05, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.7, curvature=[4.8, 3.5, 3.4, 10.6, 10.0, 5.6], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 9.4, 10.5]
fun_coils#4 - J=3.6e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=6.4e-08, J_MSC=9.5e-06, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.8, curvature=[4.8, 3.5, 3.4, 10.4, 9.9, 5.4], mean squared curvature=[8.3, 5.4, 5.0, 7.6, 9.4, 10.4]
fun_coils#5 - J=3.6e-03, Jf=3.5e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.5e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.6e-06, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.8, curvature=[4.8, 3.5, 3.4, 9.6, 9.9, 5.3], mean squared curvature=[8.3, 5.4, 5.0, 7.3, 9.4, 10.3]
fun_coils#6 - J=3.5e-03, Jf=3.5e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.5e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.0e-05, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.8, curvature=[4.8, 3.5, 3.4, 8.3, 9.7, 6.1], mean squared curvature=[8.3, 5.4, 5.0, 7.0, 9.4, 10.5]
fun_coils#7 - J=3.5e-03, Jf=3.5e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.5e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=7.2e-06, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.8, curvature=[4.8, 3.5, 3.4, 7.7, 9.7, 6.0], mean squared curvature=[8.3, 5.4, 5.0, 6.8, 9.4, 10.4]
fun_coils#8 - J=3.5e-03, Jf=3.5e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.5e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=9.7e-06, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.8, curvature=[4.8, 3.5, 3.3, 6.6, 9.5, 6.4], mean squared curvature=[8.3, 5.4, 5.0, 6.6, 9.5, 10.4]
fun_coils#9 - J=3.5e-03, Jf=3.5e-03, ⟨B·n⟩=5.9e-03, C-C-Sep=0.25 Jf=3.5e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.4e-05, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.8, curvature=[4.8, 3.5, 3.3, 7.2, 9.1, 7.5], mean squared curvature=[8.3, 5.5, 5.0, 6.3, 9.5, 10.5]
fun_coils#10 - J=3.5e-03, Jf=3.4e-03, ⟨B·n⟩=5.9e-03, C-C-Sep=0.25 Jf=3.4e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.4e-05, J_ALS=5.6e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.8, curvature=[4.8, 3.5, 3.3, 8.7, 8.7, 9.1], mean squared curvature=[8.3, 5.5, 5.0, 6.4, 9.6, 10.5]
fun_coils#11 - J=3.5e-03, Jf=3.4e-03, ⟨B·n⟩=5.9e-03, C-C-Sep=0.25 Jf=3.4e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=1.8e-05, J_MSC=6.1e-05, J_ALS=5.6e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.9, curvature=[4.8, 3.5, 3.3, 12.1, 8.2, 19.3], mean squared curvature=[8.3, 5.5, 5.0, 7.7, 9.8, 11.1]
fun_coils#12 - J=3.4e-03, Jf=3.4e-03, ⟨B·n⟩=5.9e-03, C-C-Sep=0.25 Jf=3.4e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=1.8e-06, J_MSC=1.7e-05, J_ALS=5.6e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.8, curvature=[4.8, 3.5, 3.3, 10.1, 8.4, 13.0], mean squared curvature=[8.3, 5.5, 5.0, 6.9, 9.7, 10.6]
fun_coils#13 - J=3.4e-03, Jf=3.4e-03, ⟨B·n⟩=5.8e-03, C-C-Sep=0.25 Jf=3.4e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=3.2e-06, J_MSC=4.7e-05, J_ALS=5.6e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.2, 3.2, 3.2])=18.9, curvature=[4.8, 3.5, 3.3, 13.2, 8.1, 10.8], mean squared curvature=[8.3, 5.5, 5.0, 8.2, 9.8, 11.0]
fun_coils#14 - J=3.4e-03, Jf=3.4e-03, ⟨B·n⟩=5.9e-03, C-C-Sep=0.25 Jf=3.4e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=7.6e-07, J_MSC=1.4e-05, J_ALS=5.6e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.9, curvature=[4.8, 3.5, 3.3, 11.6, 8.3, 8.6], mean squared curvature=[8.3, 5.5, 5.0, 7.4, 9.8, 10.5]
fun_coils#15 - J=3.4e-03, Jf=3.4e-03, ⟨B·n⟩=5.9e-03, C-C-Sep=0.25 Jf=3.4e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=1.3e-06, J_MSC=1.9e-05, J_ALS=5.6e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.2, 3.2, 3.2])=18.9, curvature=[4.8, 3.5, 3.3, 12.1, 8.2, 8.3], mean squared curvature=[8.3, 5.5, 5.0, 7.7, 9.8, 10.6]
fun_coils#16 - J=3.4e-03, Jf=3.4e-03, ⟨B·n⟩=5.9e-03, C-C-Sep=0.25 Jf=3.4e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=1.5e-07, J_MSC=1.1e-05, J_ALS=5.6e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.2, 3.2, 3.2])=18.9, curvature=[4.8, 3.5, 3.3, 10.8, 8.2, 7.3], mean squared curvature=[8.3, 5.5, 5.0, 7.4, 9.8, 10.5]
fun_coils#17 - J=3.4e-03, Jf=3.4e-03, ⟨B·n⟩=5.8e-03, C-C-Sep=0.25 Jf=3.4e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=5.3e-09, J_MSC=1.1e-05, J_ALS=5.6e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.2, 3.2, 3.2])=18.9, curvature=[4.8, 3.5, 3.3, 10.2, 8.1, 7.5], mean squared curvature=[8.3, 5.5, 5.0, 7.5, 9.8, 10.5]
fun_coils#18 - J=3.4e-03, Jf=3.3e-03, ⟨B·n⟩=5.8e-03, C-C-Sep=0.24 Jf=3.3e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.1e-05, J_ALS=5.7e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.2, 3.2, 3.2])=18.9, curvature=[4.8, 3.5, 3.3, 9.5, 7.9, 8.6], mean squared curvature=[8.3, 5.5, 5.0, 7.9, 9.9, 10.6]
fun_coils#19 - J=3.3e-03, Jf=3.3e-03, ⟨B·n⟩=5.8e-03, C-C-Sep=0.24 Jf=3.3e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.6e-05, J_ALS=5.7e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.2, 3.2, 3.2])=18.9, curvature=[4.8, 3.5, 3.3, 8.7, 7.6, 7.6], mean squared curvature=[8.3, 5.5, 5.1, 8.3, 10.1, 10.7]
fun_coils#20 - J=3.3e-03, Jf=3.3e-03, ⟨B·n⟩=5.8e-03, C-C-Sep=0.24 Jf=3.3e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.8e-05, J_ALS=5.7e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.2, 3.2, 3.2, 3.3])=19.0, curvature=[4.8, 3.5, 3.3, 10.0, 7.3, 8.3], mean squared curvature=[8.3, 5.5, 5.1, 9.2, 9.8, 10.8]
fun_coils#21 - J=3.3e-03, Jf=3.3e-03, ⟨B·n⟩=5.7e-03, C-C-Sep=0.24 Jf=3.3e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=5.5e-08, J_MSC=2.0e-05, J_ALS=5.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.2, 3.2, 3.2, 3.3])=19.0, curvature=[4.8, 3.5, 3.3, 10.4, 7.2, 7.1], mean squared curvature=[8.4, 5.5, 5.1, 9.4, 9.6, 10.6]
fun_coils#22 - J=3.3e-03, Jf=3.2e-03, ⟨B·n⟩=5.7e-03, C-C-Sep=0.24 Jf=3.2e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=7.7e-07, J_MSC=2.8e-05, J_ALS=5.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.2, 3.2, 3.2, 3.3])=19.0, curvature=[4.8, 3.5, 3.3, 11.2, 7.0, 7.4], mean squared curvature=[8.4, 5.5, 5.1, 10.0, 9.5, 10.7]
fun_coils#23 - J=3.2e-03, Jf=3.2e-03, ⟨B·n⟩=5.7e-03, C-C-Sep=0.24 Jf=3.2e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=3.3e-07, J_MSC=1.7e-05, J_ALS=5.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.2, 3.2, 3.2, 3.3])=19.0, curvature=[4.8, 3.5, 3.3, 10.8, 6.9, 8.1], mean squared curvature=[8.4, 5.5, 5.1, 9.7, 9.1, 10.6]
fun_coils#24 - J=3.2e-03, Jf=3.2e-03, ⟨B·n⟩=5.7e-03, C-C-Sep=0.24 Jf=3.2e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=1.4e-06, J_MSC=2.2e-05, J_ALS=5.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.2, 3.2, 3.2, 3.3])=19.0, curvature=[4.8, 3.5, 3.3, 11.4, 6.7, 8.3], mean squared curvature=[8.4, 5.5, 5.1, 10.3, 9.0, 10.6]
fun_coils#25 - J=3.2e-03, Jf=3.1e-03, ⟨B·n⟩=5.6e-03, C-C-Sep=0.23 Jf=3.1e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=2.9e-07, J_MSC=2.3e-05, J_ALS=5.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.2, 3.2, 3.2, 3.3])=19.1, curvature=[4.9, 3.5, 3.3, 10.7, 7.6, 7.4], mean squared curvature=[8.4, 5.5, 5.2, 9.8, 9.0, 10.7]
fun_coils#26 - J=3.1e-03, Jf=3.1e-03, ⟨B·n⟩=5.6e-03, C-C-Sep=0.23 Jf=3.1e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=5.9e-07, J_MSC=1.3e-05, J_ALS=6.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.2, 3.2, 3.2, 3.3])=19.1, curvature=[4.9, 3.5, 3.3, 10.8, 9.6, 7.0], mean squared curvature=[8.4, 5.5, 5.2, 10.2, 9.3, 10.5]
fun_coils#27 - J=3.1e-03, Jf=3.0e-03, ⟨B·n⟩=5.5e-03, C-C-Sep=0.23 Jf=3.0e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=1.3e-06, J_MSC=9.2e-06, J_ALS=6.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.2, 3.2, 3.2, 3.3])=19.2, curvature=[4.9, 3.5, 3.4, 11.0, 11.6, 8.4], mean squared curvature=[8.4, 5.5, 5.2, 10.0, 9.8, 10.4]
fun_coils#28 - J=3.2e-03, Jf=2.9e-03, ⟨B·n⟩=5.4e-03, C-C-Sep=0.22 Jf=2.9e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=2.3e-05, J_MSC=2.9e-04, J_ALS=6.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.2, 3.2, 3.3, 3.4])=19.3, curvature=[4.9, 3.5, 4.7, 13.5, 14.9, 11.6], mean squared curvature=[8.5, 5.5, 5.4, 11.0, 11.6, 11.5]
fun_coils#29 - J=3.0e-03, Jf=3.0e-03, ⟨B·n⟩=5.5e-03, C-C-Sep=0.23 Jf=3.0e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=3.5e-06, J_MSC=2.1e-05, J_ALS=6.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.2, 3.2, 3.3, 3.3])=19.2, curvature=[4.9, 3.5, 3.8, 11.8, 12.5, 9.1], mean squared curvature=[8.5, 5.5, 5.3, 10.2, 10.2, 10.6]
fun_coils#30 - J=3.1e-03, Jf=2.9e-03, ⟨B·n⟩=5.4e-03, C-C-Sep=0.22 Jf=2.9e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=1.9e-06, J_MSC=1.8e-04, J_ALS=6.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.2, 3.2, 3.3, 3.4])=19.4, curvature=[4.9, 3.6, 5.1, 11.0, 9.7, 11.2], mean squared curvature=[8.5, 5.5, 5.5, 10.3, 10.5, 11.8]
fun_coils#31 - J=3.0e-03, Jf=2.9e-03, ⟨B·n⟩=5.4e-03, C-C-Sep=0.23 Jf=2.9e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=1.1e-06, J_MSC=3.3e-05, J_ALS=6.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.2, 3.2, 3.3, 3.4])=19.3, curvature=[4.9, 3.5, 4.4, 11.2, 10.3, 9.3], mean squared curvature=[8.5, 5.5, 5.4, 10.2, 10.3, 10.7]
fun_coils#32 - J=2.9e-03, Jf=2.9e-03, ⟨B·n⟩=5.4e-03, C-C-Sep=0.22 Jf=2.9e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=1.1e-06, J_MSC=1.6e-05, J_ALS=6.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.2, 3.2, 3.3, 3.4])=19.4, curvature=[4.9, 3.6, 5.0, 11.1, 9.3, 7.9], mean squared curvature=[8.5, 5.5, 5.5, 10.2, 10.2, 10.5]
fun_coils#33 - J=2.8e-03, Jf=2.8e-03, ⟨B·n⟩=5.3e-03, C-C-Sep=0.21 Jf=2.8e-03, J_length=2.0e-06, J_CC=0.0e+00, J_CURVATURE=5.4e-07, J_MSC=5.7e-05, J_ALS=6.6e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.2, 3.2, 3.3, 3.5])=19.5, curvature=[4.9, 3.6, 6.4, 11.0, 8.4, 8.7], mean squared curvature=[8.6, 5.5, 5.7, 10.1, 10.4, 11.0]
fun_coils#34 - J=2.7e-03, Jf=2.7e-03, ⟨B·n⟩=5.2e-03, C-C-Sep=0.21 Jf=2.7e-03, J_length=2.0e-06, J_CC=0.0e+00, J_CURVATURE=2.1e-07, J_MSC=4.5e-05, J_ALS=6.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.2, 3.3, 3.4, 3.5])=19.7, curvature=[4.9, 3.6, 7.7, 10.7, 8.6, 6.5], mean squared curvature=[8.7, 5.5, 6.0, 10.0, 10.3, 10.9]
fun_coils#35 - J=2.7e-03, Jf=2.7e-03, ⟨B·n⟩=5.1e-03, C-C-Sep=0.20 Jf=2.7e-03, J_length=2.0e-06, J_CC=0.0e+00, J_CURVATURE=3.0e-08, J_MSC=1.7e-05, J_ALS=6.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3, 3.3, 3.4, 3.5])=19.7, curvature=[4.9, 3.6, 8.0, 10.3, 8.5, 6.8], mean squared curvature=[8.7, 5.5, 6.0, 9.7, 10.1, 10.6]
fun_coils#36 - J=2.6e-03, Jf=2.6e-03, ⟨B·n⟩=5.1e-03, C-C-Sep=0.20 Jf=2.6e-03, J_length=2.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.3e-05, J_ALS=7.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3, 3.3, 3.4, 3.6])=19.8, curvature=[4.9, 3.6, 8.7, 9.9, 8.6, 7.9], mean squared curvature=[8.8, 5.5, 6.2, 9.7, 10.3, 10.6]
