
Aspect ratio at max_mode 3: 7.000779995541477
Mean iota at 3: 0.4676719270089491
Squared flux at max_mode 3: 0.001018332930600819
fun_coils_simple#1 - J=7.2e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=3.4e-05, J_MSC=6.1e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.5, 7.3, 14.0, 13.3, 16.1], mean squared curvature=[14.6, 7.8, 5.9, 5.8, 10.5, 15.4, 15.9, 16.1]
fun_coils_simple#12 - J=2.6e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=2.8e-07, J_MSC=1.5e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.1, 5.3, 3.6, 4.5, 6.9, 10.7, 10.3, 7.8], mean squared curvature=[14.2, 7.8, 5.9, 5.8, 9.8, 10.5, 12.1, 12.9]
fun_coils_simple#13 - J=2.4e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=5.0e-07, J_MSC=1.4e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.1, 5.3, 3.6, 4.5, 6.9, 10.9, 9.3, 7.6], mean squared curvature=[14.1, 7.8, 5.9, 5.8, 9.7, 10.1, 11.9, 12.7]
fun_coils_simple#14 - J=2.3e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.5e-06, J_MSC=1.2e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.7, 11.6, 7.2, 10.4], mean squared curvature=[13.8, 7.8, 5.9, 5.8, 9.5, 9.8, 11.8, 12.7]
fun_coils#1 - J=2.3e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.5e-06, J_MSC=1.2e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.7, 11.6, 7.2, 10.4], mean squared curvature=[13.8, 7.8, 5.9, 5.8, 9.5, 9.8, 11.8, 12.7]
fun_coils#2 - J=1.9e+01, Jf=2.7e-01, ⟨B·n⟩=8.2e-02, C-C-Sep=0.01 Jf=2.7e-01, J_length=7.7e-06, J_CC=5.1e-03, J_CURVATURE=1.7e-01, J_MSC=1.0e+01, J_ALS=8.3e-05, J_LENGTH_PENALTY=7.9e+00 Coil lengths=sum([4.9, 3.0, 3.0, 3.0, 3.0, 3.1, 13.1, 43.8])=77.1, curvature=[103.5, 5.4, 3.6, 4.3, 6.8, 468.7, 111.0, 115.3], mean squared curvature=[262.2, 7.9, 5.9, 5.8, 9.7, 364.8, 145.7, 41.1]
fun_coils#3 - J=1.3e+02, Jf=1.9e-03, ⟨B·n⟩=5.2e-03, C-C-Sep=0.20 Jf=1.9e-03, J_length=2.8e-06, J_CC=0.0e+00, J_CURVATURE=4.7e-01, J_MSC=1.3e+02, J_ALS=1.2e-06, J_LENGTH_PENALTY=4.8e-03 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.5, 6.0])=27.6, curvature=[11.1, 5.3, 3.6, 4.5, 6.7, 12.3, 168.8, 1522.7], mean squared curvature=[22.6, 7.8, 5.9, 5.8, 9.5, 11.1, 485.0, 1542.3]
fun_coils#4 - J=2.2e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.5e-06, J_MSC=1.2e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.7, 11.6, 7.2, 8.7], mean squared curvature=[13.8, 7.8, 5.9, 5.8, 9.5, 9.8, 11.8, 12.6]
fun_coils#5 - J=2.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.5e-06, J_MSC=1.1e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.7, 11.6, 7.1, 7.0], mean squared curvature=[13.8, 7.8, 5.9, 5.8, 9.5, 9.8, 11.7, 12.2]
fun_coils#6 - J=2.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.4e-06, J_MSC=1.1e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.7, 11.6, 7.1, 7.0], mean squared curvature=[13.8, 7.8, 5.9, 5.8, 9.5, 9.8, 11.6, 12.2]
fun_coils#7 - J=2.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.3e-06, J_MSC=1.0e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.7, 11.5, 7.3, 6.9], mean squared curvature=[13.7, 7.8, 5.9, 5.8, 9.5, 9.8, 11.5, 12.1]
fun_coils#8 - J=2.0e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.0e-06, J_MSC=9.7e-04, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.7, 11.4, 7.5, 6.9], mean squared curvature=[13.7, 7.8, 5.9, 5.8, 9.5, 9.7, 11.4, 12.0]
fun_coils#9 - J=1.9e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=5.6e-07, J_MSC=8.7e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.7, 11.0, 7.1, 6.7], mean squared curvature=[13.5, 7.8, 5.9, 5.8, 9.5, 9.7, 11.2, 11.8]
fun_coils#10 - J=2.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.6e-05, J_MSC=1.1e-03, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.4, 5.3, 3.6, 4.5, 6.7, 10.3, 6.8, 19.7], mean squared curvature=[13.3, 7.8, 5.9, 5.8, 9.5, 9.6, 11.3, 13.0]
fun_coils#11 - J=1.9e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=3.3e-07, J_MSC=8.4e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.7, 10.8, 7.0, 6.9], mean squared curvature=[13.5, 7.8, 5.9, 5.8, 9.5, 9.6, 11.2, 11.8]
fun_coils#12 - J=1.8e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.0e-07, J_MSC=7.7e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.4, 5.3, 3.6, 4.5, 6.7, 10.5, 6.5, 7.7], mean squared curvature=[13.4, 7.8, 5.9, 5.8, 9.5, 9.6, 11.2, 11.6]
fun_coils#13 - J=1.7e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=9.4e-09, J_MSC=7.2e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.4, 5.3, 3.6, 4.5, 6.7, 10.2, 6.2, 8.0], mean squared curvature=[13.3, 7.8, 5.9, 5.8, 9.5, 9.6, 11.1, 11.5]
fun_coils#14 - J=1.7e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=6.5e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.4, 5.3, 3.6, 4.5, 6.7, 9.7, 6.0, 7.7], mean squared curvature=[13.2, 7.8, 5.9, 5.8, 9.5, 9.5, 11.0, 11.4]
fun_coils#15 - J=1.6e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=6.2e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.4, 5.3, 3.6, 4.5, 6.7, 9.1, 5.6, 9.6], mean squared curvature=[13.1, 7.8, 5.9, 5.8, 9.5, 9.5, 10.8, 11.5]
fun_coils#16 - J=1.6e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.6e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.4, 5.3, 3.6, 4.5, 6.7, 8.9, 5.6, 5.9], mean squared curvature=[13.1, 7.8, 5.9, 5.8, 9.5, 9.5, 10.7, 11.1]
fun_coils#17 - J=1.6e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.4e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.7, 8.9, 5.7, 5.7], mean squared curvature=[13.1, 7.8, 5.9, 5.8, 9.5, 9.5, 10.6, 11.0]
fun_coils#18 - J=1.5e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.0e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.2, 5.3, 3.6, 4.5, 6.7, 8.7, 6.0, 6.1], mean squared curvature=[13.0, 7.8, 5.9, 5.8, 9.5, 9.5, 10.6, 10.9]
fun_coils#19 - J=1.5e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.7e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.1, 5.3, 3.6, 4.5, 6.7, 8.5, 6.3, 6.6], mean squared curvature=[12.9, 7.8, 5.9, 5.8, 9.5, 9.5, 10.6, 10.9]
fun_coils#20 - J=1.5e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.3e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.5, 6.7, 8.0, 6.8, 6.7], mean squared curvature=[12.7, 7.8, 5.9, 5.8, 9.5, 9.5, 10.6, 11.1]
fun_coils#21 - J=1.4e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.8e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.4, 6.7, 7.6, 6.9, 6.8], mean squared curvature=[12.5, 7.8, 5.9, 5.8, 9.5, 9.5, 10.5, 10.9]
fun_coils#22 - J=1.4e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.4e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.4, 6.7, 7.3, 6.7, 6.3], mean squared curvature=[12.4, 7.8, 5.9, 5.8, 9.5, 9.6, 10.4, 10.8]
fun_coils#23 - J=1.3e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.8e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.4, 6.7, 7.3, 6.6, 5.7], mean squared curvature=[12.2, 7.8, 5.9, 5.8, 9.5, 9.6, 10.3, 10.8]
fun_coils#24 - J=1.4e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.1e-07, J_MSC=3.7e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[6.8, 5.3, 3.6, 4.4, 6.7, 7.5, 6.8, 10.8], mean squared curvature=[11.8, 7.8, 5.9, 5.8, 9.5, 9.8, 10.3, 12.0]
fun_coils#25 - J=1.3e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.5e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[6.9, 5.3, 3.6, 4.4, 6.7, 7.3, 6.7, 5.7], mean squared curvature=[12.1, 7.8, 5.9, 5.8, 9.5, 9.7, 10.3, 10.8]
fun_coils#26 - J=1.2e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.1e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[6.8, 5.3, 3.6, 4.4, 6.7, 7.3, 6.6, 6.2], mean squared curvature=[11.9, 7.8, 5.9, 5.8, 9.5, 9.8, 10.2, 10.8]
fun_coils#27 - J=1.2e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.7e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[6.6, 5.3, 3.6, 4.4, 6.7, 7.7, 6.6, 6.0], mean squared curvature=[11.7, 7.8, 5.9, 5.8, 9.5, 9.9, 10.2, 10.8]
fun_coils#28 - J=1.2e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.3e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[6.2, 5.3, 3.6, 4.4, 6.8, 8.5, 6.4, 7.0], mean squared curvature=[11.4, 7.8, 5.9, 5.8, 9.5, 10.0, 10.3, 10.8]
fun_coils#29 - J=1.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=9.6e-05, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[5.9, 5.3, 3.6, 4.4, 6.8, 8.5, 6.4, 5.8], mean squared curvature=[11.2, 7.8, 5.9, 5.8, 9.6, 10.0, 10.3, 10.5]
fun_coils#30 - J=1.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=7.8e-05, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[5.8, 5.3, 3.6, 4.4, 6.8, 8.3, 6.7, 5.7], mean squared curvature=[11.1, 7.8, 5.9, 5.8, 9.6, 10.0, 10.2, 10.5]
