
Aspect ratio at max_mode 3: 7.000779995541477
Mean iota at 3: 0.4676719270089491
Squared flux at max_mode 3: 0.001018332930600819
fun_coils_simple#1 - J=7.2e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=3.4e-05, J_MSC=6.1e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.5, 7.3, 14.0, 13.3, 16.1], mean squared curvature=[14.6, 7.8, 5.9, 5.8, 10.5, 15.4, 15.9, 16.1]
fun_coils_simple#12 - J=2.5e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=2.9e-07, J_MSC=1.5e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.1, 5.3, 3.6, 4.5, 6.9, 10.7, 10.1, 7.7], mean squared curvature=[14.2, 7.8, 5.9, 5.8, 9.8, 10.4, 12.0, 12.9]
fun_coils_simple#13 - J=2.4e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=5.7e-07, J_MSC=1.4e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.1, 5.3, 3.6, 4.5, 6.9, 11.0, 8.8, 10.5], mean squared curvature=[14.0, 7.8, 5.9, 5.8, 9.7, 10.0, 11.8, 12.8]
fun_coils_simple#14 - J=2.2e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.1e-06, J_MSC=1.2e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.2, 5.3, 3.6, 4.5, 6.8, 11.4, 7.3, 7.6], mean squared curvature=[13.8, 7.8, 5.9, 5.8, 9.5, 9.8, 11.8, 12.4]
fun_coils#1 - J=2.2e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.1e-06, J_MSC=1.2e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.2, 5.3, 3.6, 4.5, 6.8, 11.4, 7.3, 7.6], mean squared curvature=[13.8, 7.8, 5.9, 5.8, 9.5, 9.8, 11.8, 12.4]
fun_coils#2 - J=1.2e+02, Jf=3.1e-01, ⟨B·n⟩=1.0e-01, C-C-Sep=0.02 Jf=3.1e-01, J_length=8.7e-06, J_CC=6.3e-03, J_CURVATURE=4.8e-01, J_MSC=1.1e+02, J_ALS=7.6e-05, J_LENGTH_PENALTY=7.4e+00 Coil lengths=sum([8.3, 3.0, 3.0, 3.0, 3.0, 3.2, 23.6, 39.2])=86.5, curvature=[250.4, 5.4, 3.6, 4.2, 7.0, 1225.3, 124.2, 197.3], mean squared curvature=[243.6, 7.9, 5.9, 5.8, 10.1, 1494.1, 72.6, 103.0]
fun_coils#3 - J=1.6e-01, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=5.6e-03, J_MSC=1.5e-01, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.8, 11.0, 18.8, 181.0], mean squared curvature=[13.6, 7.8, 5.9, 5.8, 9.5, 9.7, 14.3, 65.1]
fun_coils#4 - J=2.2e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.1e-06, J_MSC=1.2e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.2, 5.3, 3.6, 4.5, 6.8, 11.4, 7.3, 10.6], mean squared curvature=[13.8, 7.8, 5.9, 5.8, 9.5, 9.8, 11.6, 12.4]
fun_coils#5 - J=2.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.0e-06, J_MSC=1.1e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.2, 5.3, 3.6, 4.5, 6.8, 11.3, 7.3, 7.0], mean squared curvature=[13.8, 7.8, 5.9, 5.8, 9.5, 9.8, 11.6, 12.2]
fun_coils#6 - J=2.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=9.6e-07, J_MSC=1.1e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.2, 5.3, 3.6, 4.5, 6.8, 11.3, 7.5, 7.0], mean squared curvature=[13.8, 7.8, 5.9, 5.8, 9.5, 9.7, 11.5, 12.2]
fun_coils#7 - J=2.0e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=8.2e-07, J_MSC=1.0e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.8, 11.2, 7.7, 6.9], mean squared curvature=[13.7, 7.8, 5.9, 5.8, 9.5, 9.7, 11.4, 12.1]
fun_coils#8 - J=2.0e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=6.0e-07, J_MSC=9.5e-04, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.8, 11.1, 7.5, 6.8], mean squared curvature=[13.6, 7.8, 5.9, 5.8, 9.5, 9.7, 11.4, 11.9]
fun_coils#9 - J=2.0e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.8e-06, J_MSC=9.6e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.4, 5.3, 3.6, 4.5, 6.8, 10.6, 6.9, 13.8], mean squared curvature=[13.4, 7.8, 5.9, 5.8, 9.5, 9.6, 11.2, 12.4]
fun_coils#10 - J=1.9e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=3.4e-07, J_MSC=9.0e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.8, 10.8, 7.2, 8.2], mean squared curvature=[13.5, 7.8, 5.9, 5.8, 9.5, 9.7, 11.3, 12.0]
fun_coils#11 - J=1.8e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.1e-07, J_MSC=8.0e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.4, 5.3, 3.6, 4.5, 6.8, 10.5, 6.8, 7.9], mean squared curvature=[13.4, 7.8, 5.9, 5.8, 9.5, 9.6, 11.3, 11.7]
fun_coils#12 - J=1.8e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=2.5e-08, J_MSC=7.5e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.4, 5.3, 3.6, 4.5, 6.8, 10.2, 6.3, 8.2], mean squared curvature=[13.3, 7.8, 5.9, 5.8, 9.5, 9.6, 11.2, 11.6]
fun_coils#13 - J=1.7e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=6.8e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.4, 5.3, 3.6, 4.5, 6.8, 9.9, 6.1, 7.7], mean squared curvature=[13.2, 7.8, 5.9, 5.8, 9.5, 9.6, 11.0, 11.5]
fun_coils#14 - J=1.7e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=6.3e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.5, 5.3, 3.6, 4.5, 6.8, 9.5, 5.7, 7.1], mean squared curvature=[13.2, 7.8, 5.9, 5.8, 9.5, 9.5, 10.9, 11.3]
fun_coils#15 - J=1.6e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=6.0e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.4, 5.3, 3.6, 4.5, 6.8, 9.4, 5.6, 6.3], mean squared curvature=[13.1, 7.8, 5.9, 5.8, 9.5, 9.5, 10.8, 11.2]
fun_coils#16 - J=1.6e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.4e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.3, 5.3, 3.6, 4.5, 6.8, 9.2, 5.7, 5.8], mean squared curvature=[13.1, 7.8, 5.9, 5.8, 9.6, 9.5, 10.7, 11.0]
fun_coils#17 - J=1.5e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.0e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.2, 5.3, 3.6, 4.5, 6.8, 9.0, 6.0, 6.4], mean squared curvature=[13.0, 7.8, 5.9, 5.8, 9.6, 9.5, 10.6, 11.0]
fun_coils#18 - J=1.5e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.7e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.1, 5.3, 3.6, 4.5, 6.8, 8.6, 6.8, 7.2], mean squared curvature=[12.8, 7.8, 5.9, 5.8, 9.6, 9.5, 10.7, 11.1]
fun_coils#19 - J=1.5e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.3e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.5, 6.8, 8.4, 6.8, 6.9], mean squared curvature=[12.7, 7.8, 5.9, 5.8, 9.6, 9.5, 10.6, 11.0]
fun_coils#20 - J=1.4e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.0e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.5, 6.8, 8.3, 6.7, 6.4], mean squared curvature=[12.6, 7.8, 5.9, 5.8, 9.6, 9.5, 10.5, 10.9]
fun_coils#21 - J=1.4e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.4e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.4, 6.8, 7.9, 6.5, 5.7], mean squared curvature=[12.5, 7.8, 5.9, 5.8, 9.6, 9.5, 10.4, 10.8]
fun_coils#22 - J=1.3e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.8e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.4, 6.8, 7.5, 6.5, 6.3], mean squared curvature=[12.2, 7.8, 5.9, 5.8, 9.6, 9.6, 10.3, 10.8]
fun_coils#23 - J=1.3e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.7e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[6.7, 5.3, 3.6, 4.4, 6.8, 7.6, 6.5, 9.6], mean squared curvature=[11.8, 7.8, 5.9, 5.8, 9.6, 9.7, 10.4, 11.4]
fun_coils#24 - J=1.3e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.3e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[6.9, 5.3, 3.6, 4.4, 6.8, 7.5, 6.4, 6.0], mean squared curvature=[12.0, 7.8, 5.9, 5.8, 9.6, 9.7, 10.2, 10.8]
fun_coils#25 - J=1.2e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.9e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[6.7, 5.3, 3.6, 4.4, 6.8, 7.6, 6.3, 5.9], mean squared curvature=[11.8, 7.8, 5.9, 5.8, 9.6, 9.7, 10.3, 10.8]
fun_coils#26 - J=1.2e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.6e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[6.4, 5.3, 3.6, 4.4, 6.8, 7.6, 6.4, 5.7], mean squared curvature=[11.6, 7.8, 5.9, 5.8, 9.6, 9.8, 10.3, 10.8]
fun_coils#27 - J=1.2e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.2e-04, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[6.1, 5.3, 3.6, 4.4, 6.8, 7.6, 6.6, 5.8], mean squared curvature=[11.4, 7.8, 5.9, 5.8, 9.6, 9.8, 10.3, 10.7]
fun_coils#28 - J=1.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.21 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=9.9e-05, J_ALS=7.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[5.9, 5.3, 3.6, 4.4, 6.8, 7.6, 6.9, 6.7], mean squared curvature=[11.2, 7.8, 5.9, 5.8, 9.6, 9.9, 10.2, 10.6]
fun_coils#29 - J=1.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=7.2e-05, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[5.7, 5.3, 3.6, 4.4, 6.8, 7.8, 7.6, 7.1], mean squared curvature=[11.0, 7.8, 5.9, 5.8, 9.6, 10.0, 10.1, 10.6]
fun_coils#30 - J=1.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.8e-05, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[5.5, 5.3, 3.6, 4.4, 6.8, 8.2, 8.0, 7.0], mean squared curvature=[10.9, 7.8, 5.9, 5.8, 9.7, 10.1, 10.2, 10.4]
