
Aspect ratio at max_mode 3: 7.0005969980925915
Mean iota at 3: -0.46675452068156176
Squared flux at max_mode 3: 0.00776731652366406
fun_coils_simple#1 - J=1.2e-02, Jf=9.4e-03, ⟨B·n⟩=6.9e-03, C-C-Sep=0.20 Jf=9.4e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=2.5e-05, J_MSC=2.7e-03, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[13.7, 15.8, 10.2], mean squared curvature=[13.8, 15.9, 12.1]
fun_coils_simple#12 - J=8.0e-03, Jf=7.8e-03, ⟨B·n⟩=6.4e-03, C-C-Sep=0.20 Jf=7.8e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=3.4e-06, J_MSC=2.2e-04, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[14.1, 7.4, 11.9], mean squared curvature=[11.4, 11.5, 10.6]
fun_coils_simple#13 - J=7.7e-03, Jf=7.5e-03, ⟨B·n⟩=6.4e-03, C-C-Sep=0.20 Jf=7.5e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=1.1e-06, J_MSC=1.9e-04, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[7.7, 8.8, 11.8], mean squared curvature=[10.7, 11.6, 10.9]
fun_coils#1 - J=7.7e-03, Jf=7.5e-03, ⟨B·n⟩=6.4e-03, C-C-Sep=0.20 Jf=7.5e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=1.1e-06, J_MSC=1.9e-04, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[7.7, 8.8, 11.8], mean squared curvature=[10.7, 11.6, 10.9]
fun_coils#2 - J=1.0e+01, Jf=1.3e+00, ⟨B·n⟩=1.8e-01, C-C-Sep=0.02 Jf=1.3e+00, J_length=8.4e-06, J_CC=2.6e-03, J_CURVATURE=9.2e-02, J_MSC=2.5e-01, J_ALS=3.2e-05, J_LENGTH_PENALTY=8.6e+00 Coil lengths=sum([22.2, 26.5, 35.0])=83.7, curvature=[77.7, 86.0, 131.8], mean squared curvature=[64.7, 44.7, 39.5]
fun_coils#3 - J=4.3e-01, Jf=7.0e-03, ⟨B·n⟩=6.2e-03, C-C-Sep=0.20 Jf=7.0e-03, J_length=9.7e-07, J_CC=0.0e+00, J_CURVATURE=1.0e-02, J_MSC=4.2e-01, J_ALS=4.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.7, curvature=[63.9, 67.1, 67.4], mean squared curvature=[39.2, 58.5, 81.7]
fun_coils#4 - J=7.6e-03, Jf=7.5e-03, ⟨B·n⟩=6.4e-03, C-C-Sep=0.20 Jf=7.5e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=7.5e-05, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[6.7, 6.7, 7.8], mean squared curvature=[10.2, 11.2, 10.1]
fun_coils#5 - J=7.5e-03, Jf=7.4e-03, ⟨B·n⟩=6.3e-03, C-C-Sep=0.20 Jf=7.4e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.3e-05, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[6.2, 6.5, 7.8], mean squared curvature=[9.9, 11.0, 10.0]
fun_coils#6 - J=7.3e-03, Jf=7.2e-03, ⟨B·n⟩=6.3e-03, C-C-Sep=0.20 Jf=7.2e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.4e-05, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[5.7, 7.4, 9.2], mean squared curvature=[9.6, 10.9, 10.1]
fun_coils#7 - J=8.2e-03, Jf=6.8e-03, ⟨B·n⟩=6.1e-03, C-C-Sep=0.20 Jf=6.8e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=3.8e-05, J_MSC=1.3e-03, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.6, curvature=[9.8, 11.2, 18.9], mean squared curvature=[10.3, 13.8, 13.4]
fun_coils#8 - J=7.2e-03, Jf=7.1e-03, ⟨B·n⟩=6.2e-03, C-C-Sep=0.20 Jf=7.1e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=5.1e-08, J_MSC=7.5e-05, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[5.6, 7.4, 10.5], mean squared curvature=[9.5, 11.1, 10.6]
fun_coils#9 - J=7.0e-03, Jf=6.9e-03, ⟨B·n⟩=6.2e-03, C-C-Sep=0.20 Jf=6.9e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=1.0e-06, J_MSC=1.5e-04, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.6, curvature=[8.5, 8.6, 12.1], mean squared curvature=[9.9, 11.3, 11.1]
fun_coils#10 - J=6.9e-03, Jf=6.8e-03, ⟨B·n⟩=6.1e-03, C-C-Sep=0.20 Jf=6.8e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=1.4e-06, J_MSC=1.4e-04, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.6, curvature=[13.3, 7.5, 7.7], mean squared curvature=[10.9, 11.4, 10.4]
fun_coils#11 - J=6.8e-03, Jf=6.7e-03, ⟨B·n⟩=6.1e-03, C-C-Sep=0.20 Jf=6.7e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.3e-05, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.6, curvature=[6.5, 6.0, 7.8], mean squared curvature=[9.9, 11.0, 9.9]
fun_coils#12 - J=6.7e-03, Jf=6.7e-03, ⟨B·n⟩=6.1e-03, C-C-Sep=0.20 Jf=6.7e-03, J_length=9.7e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=6.7e-05, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.7, curvature=[8.0, 6.2, 8.2], mean squared curvature=[10.5, 11.0, 10.2]
fun_coils#13 - J=6.6e-03, Jf=6.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.20 Jf=6.6e-03, J_length=9.7e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=8.3e-05, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.7, curvature=[6.4, 6.4, 8.7], mean squared curvature=[10.0, 11.0, 10.8]
fun_coils#14 - J=6.6e-03, Jf=6.5e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.20 Jf=6.5e-03, J_length=9.7e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.6e-05, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.7, curvature=[6.7, 6.3, 8.3], mean squared curvature=[10.1, 10.8, 10.5]
fun_coils#15 - J=6.5e-03, Jf=6.4e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.20 Jf=6.4e-03, J_length=9.7e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.2e-05, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.7, curvature=[7.2, 6.6, 7.8], mean squared curvature=[10.2, 10.8, 10.4]
fun_coils#16 - J=6.4e-03, Jf=6.3e-03, ⟨B·n⟩=5.9e-03, C-C-Sep=0.20 Jf=6.3e-03, J_length=9.7e-07, J_CC=0.0e+00, J_CURVATURE=4.4e-07, J_MSC=6.3e-05, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.7, curvature=[11.6, 6.5, 8.6], mean squared curvature=[10.5, 11.0, 10.3]
fun_coils#17 - J=6.3e-03, Jf=6.2e-03, ⟨B·n⟩=5.9e-03, C-C-Sep=0.20 Jf=6.2e-03, J_length=9.7e-07, J_CC=0.0e+00, J_CURVATURE=5.0e-08, J_MSC=6.4e-05, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.7, curvature=[10.5, 6.7, 9.5], mean squared curvature=[10.3, 11.0, 10.5]
fun_coils#18 - J=6.2e-03, Jf=6.1e-03, ⟨B·n⟩=5.8e-03, C-C-Sep=0.20 Jf=6.1e-03, J_length=9.7e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=7.1e-05, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.2, 3.3])=9.7, curvature=[9.2, 6.4, 8.3], mean squared curvature=[10.1, 10.9, 10.7]
fun_coils#19 - J=6.1e-03, Jf=6.0e-03, ⟨B·n⟩=5.8e-03, C-C-Sep=0.19 Jf=6.0e-03, J_length=9.8e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.0e-04, J_ALS=4.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.3, 3.3])=9.8, curvature=[8.5, 7.2, 8.3], mean squared curvature=[10.3, 11.0, 11.0]
fun_coils#20 - J=5.9e-03, Jf=5.8e-03, ⟨B·n⟩=5.7e-03, C-C-Sep=0.19 Jf=5.8e-03, J_length=9.8e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=8.0e-05, J_ALS=4.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.3, 3.3])=9.8, curvature=[9.9, 7.4, 8.2], mean squared curvature=[10.5, 10.8, 10.8]
fun_coils#21 - J=5.8e-03, Jf=5.7e-03, ⟨B·n⟩=5.6e-03, C-C-Sep=0.19 Jf=5.7e-03, J_length=9.8e-07, J_CC=0.0e+00, J_CURVATURE=1.3e-06, J_MSC=6.7e-05, J_ALS=4.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.3, 3.4])=9.8, curvature=[12.6, 6.9, 7.9], mean squared curvature=[10.7, 10.9, 10.3]
fun_coils#22 - J=5.7e-03, Jf=5.6e-03, ⟨B·n⟩=5.6e-03, C-C-Sep=0.19 Jf=5.6e-03, J_length=9.9e-07, J_CC=0.0e+00, J_CURVATURE=2.7e-08, J_MSC=6.9e-05, J_ALS=4.4e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.3, 3.4])=9.9, curvature=[10.4, 7.1, 7.9], mean squared curvature=[10.6, 11.0, 10.2]
fun_coils#23 - J=5.5e-03, Jf=5.5e-03, ⟨B·n⟩=5.5e-03, C-C-Sep=0.19 Jf=5.5e-03, J_length=9.9e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=8.5e-05, J_ALS=4.4e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.3, 3.4])=9.9, curvature=[8.3, 7.2, 7.7], mean squared curvature=[10.7, 11.1, 10.4]
fun_coils#24 - J=5.5e-03, Jf=5.3e-03, ⟨B·n⟩=5.4e-03, C-C-Sep=0.19 Jf=5.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.1e-04, J_ALS=4.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.3, 3.4])=10.0, curvature=[5.9, 9.4, 7.8], mean squared curvature=[11.0, 11.5, 11.0]
fun_coils#25 - J=5.5e-03, Jf=5.4e-03, ⟨B·n⟩=5.5e-03, C-C-Sep=0.19 Jf=5.4e-03, J_length=9.9e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=9.7e-05, J_ALS=4.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.3, 3.4])=9.9, curvature=[6.3, 7.2, 7.5], mean squared curvature=[10.7, 11.1, 10.6]
fun_coils#26 - J=5.4e-03, Jf=5.3e-03, ⟨B·n⟩=5.4e-03, C-C-Sep=0.19 Jf=5.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=9.2e-05, J_ALS=4.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.3, 3.4])=10.0, curvature=[5.8, 7.1, 7.7], mean squared curvature=[10.8, 10.8, 10.7]
fun_coils#27 - J=5.3e-03, Jf=5.2e-03, ⟨B·n⟩=5.4e-03, C-C-Sep=0.19 Jf=5.2e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.6e-05, J_ALS=4.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.2, 3.3, 3.4])=10.0, curvature=[5.8, 7.0, 7.3], mean squared curvature=[10.6, 10.8, 10.4]
fun_coils#28 - J=5.1e-03, Jf=5.0e-03, ⟨B·n⟩=5.3e-03, C-C-Sep=0.18 Jf=5.0e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=9.8e-05, J_ALS=4.6e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.3, 3.4, 3.4])=10.1, curvature=[5.8, 8.6, 7.0], mean squared curvature=[10.8, 11.0, 10.7]
fun_coils#29 - J=4.9e-03, Jf=4.8e-03, ⟨B·n⟩=5.2e-03, C-C-Sep=0.18 Jf=4.8e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.4e-04, J_ALS=4.7e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.3, 3.4, 3.5])=10.2, curvature=[5.9, 9.1, 7.1], mean squared curvature=[10.9, 11.3, 10.7]
fun_coils#30 - J=4.8e-03, Jf=4.7e-03, ⟨B·n⟩=5.2e-03, C-C-Sep=0.18 Jf=4.7e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=7.9e-05, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.3, 3.4, 3.5])=10.2, curvature=[6.1, 6.4, 6.8], mean squared curvature=[10.9, 10.7, 10.5]
fun_coils#31 - J=4.7e-03, Jf=4.7e-03, ⟨B·n⟩=5.1e-03, C-C-Sep=0.18 Jf=4.7e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=5.9e-05, J_ALS=4.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.3, 3.4, 3.5])=10.2, curvature=[6.1, 6.4, 6.7], mean squared curvature=[10.8, 10.6, 10.3]
fun_coils#32 - J=4.6e-03, Jf=4.5e-03, ⟨B·n⟩=5.1e-03, C-C-Sep=0.18 Jf=4.5e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=7.5e-05, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.3, 3.5, 3.5])=10.3, curvature=[6.2, 6.3, 6.9], mean squared curvature=[10.9, 10.7, 10.5]
fun_coils#33 - J=4.4e-03, Jf=4.3e-03, ⟨B·n⟩=5.0e-03, C-C-Sep=0.17 Jf=4.3e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=8.1e-05, J_ALS=5.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.3, 3.5, 3.5])=10.4, curvature=[9.5, 7.4, 7.0], mean squared curvature=[11.0, 10.7, 10.4]
fun_coils#34 - J=4.3e-03, Jf=4.2e-03, ⟨B·n⟩=4.9e-03, C-C-Sep=0.17 Jf=4.2e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.5e-05, J_ALS=5.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.3, 3.5, 3.6])=10.4, curvature=[6.5, 6.4, 7.0], mean squared curvature=[10.2, 10.4, 10.3]
fun_coils#35 - J=4.2e-03, Jf=4.2e-03, ⟨B·n⟩=4.9e-03, C-C-Sep=0.16 Jf=4.2e-03, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.8e-05, J_ALS=5.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.4, 3.5, 3.6])=10.5, curvature=[6.6, 6.2, 6.9], mean squared curvature=[10.3, 10.4, 10.4]
fun_coils#36 - J=4.1e-03, Jf=3.9e-03, ⟨B·n⟩=4.7e-03, C-C-Sep=0.14 Jf=3.9e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=5.0e-07, J_MSC=2.2e-04, J_ALS=5.7e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.4, 3.7, 3.7])=10.8, curvature=[7.9, 7.9, 11.2], mean squared curvature=[11.7, 11.1, 10.6]
fun_coils#37 - J=4.0e-03, Jf=4.0e-03, ⟨B·n⟩=4.8e-03, C-C-Sep=0.15 Jf=4.0e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.7e-05, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.4, 3.6, 3.6])=10.6, curvature=[6.6, 6.3, 6.7], mean squared curvature=[10.4, 10.4, 9.9]
fun_coils#38 - J=3.9e-03, Jf=3.8e-03, ⟨B·n⟩=4.7e-03, C-C-Sep=0.13 Jf=3.8e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=9.0e-07, J_MSC=1.0e-04, J_ALS=5.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.4, 3.7, 3.7])=10.8, curvature=[6.9, 7.2, 11.9], mean squared curvature=[10.7, 10.9, 10.9]
fun_coils#39 - J=3.7e-03, Jf=3.6e-03, ⟨B·n⟩=4.6e-03, C-C-Sep=0.12 Jf=3.6e-03, J_length=1.1e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=4.4e-05, J_ALS=6.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.5, 3.7, 3.7])=10.9, curvature=[6.9, 8.5, 6.3], mean squared curvature=[10.4, 10.8, 10.0]
fun_coils#40 - J=3.5e-03, Jf=3.5e-03, ⟨B·n⟩=4.5e-03, C-C-Sep=0.12 Jf=3.5e-03, J_length=1.1e-06, J_CC=1.5e-10, J_CURVATURE=0.0e+00, J_MSC=3.0e-05, J_ALS=6.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.5, 3.7, 3.8])=11.0, curvature=[6.8, 7.5, 7.4], mean squared curvature=[10.3, 10.7, 10.2]
fun_coils#41 - J=3.4e-03, Jf=3.3e-03, ⟨B·n⟩=4.4e-03, C-C-Sep=0.11 Jf=3.3e-03, J_length=1.1e-06, J_CC=7.1e-08, J_CURVATURE=0.0e+00, J_MSC=2.5e-05, J_ALS=6.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.5, 3.8, 3.8])=11.0, curvature=[6.7, 7.3, 6.6], mean squared curvature=[10.5, 10.4, 10.4]
fun_coils#42 - J=3.2e-03, Jf=3.2e-03, ⟨B·n⟩=4.3e-03, C-C-Sep=0.10 Jf=3.2e-03, J_length=1.1e-06, J_CC=9.3e-07, J_CURVATURE=0.0e+00, J_MSC=1.5e-05, J_ALS=6.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.5, 3.8, 3.9])=11.2, curvature=[8.5, 7.5, 6.3], mean squared curvature=[10.4, 10.3, 10.0]
fun_coils#43 - J=3.1e-03, Jf=3.0e-03, ⟨B·n⟩=4.2e-03, C-C-Sep=0.09 Jf=3.0e-03, J_length=1.1e-06, J_CC=3.2e-06, J_CURVATURE=0.0e+00, J_MSC=3.9e-06, J_ALS=6.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.9, 3.9])=11.3, curvature=[6.8, 7.5, 6.3], mean squared curvature=[10.1, 10.2, 10.1]
fun_coils#44 - J=3.0e-03, Jf=2.7e-03, ⟨B·n⟩=4.0e-03, C-C-Sep=0.06 Jf=2.7e-03, J_length=1.2e-06, J_CC=1.9e-05, J_CURVATURE=0.0e+00, J_MSC=2.1e-04, J_ALS=7.7e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 4.0, 4.1])=11.7, curvature=[8.5, 8.5, 8.7], mean squared curvature=[11.4, 11.2, 11.0]
fun_coils#45 - J=2.9e-03, Jf=2.9e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.08 Jf=2.9e-03, J_length=1.1e-06, J_CC=8.3e-06, J_CURVATURE=0.0e+00, J_MSC=2.7e-05, J_ALS=7.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.9, 4.0])=11.5, curvature=[7.5, 7.8, 6.4], mean squared curvature=[10.5, 10.4, 10.4]
fun_coils#46 - J=2.9e-03, Jf=2.6e-03, ⟨B·n⟩=3.9e-03, C-C-Sep=0.06 Jf=2.6e-03, J_length=1.2e-06, J_CC=2.3e-05, J_CURVATURE=1.1e-07, J_MSC=2.9e-04, J_ALS=7.8e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.7, 4.0, 4.1])=11.8, curvature=[7.3, 10.6, 10.4], mean squared curvature=[11.6, 11.7, 10.6]
